Final area = 343989
Black area = 70819

block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb251 (711, 39) (745, 82)
sb90 (687, 39) (711, 85)
sb17 (650, 39) (687, 80)
sb97 (650, 24) (690, 39)
sb199 (604, 123) (640, 154)
sb164 (604, 87) (645, 123)
sb296 (604, 71) (631, 87)
sb263 (604, 24) (650, 71)
sb189 (604, 12) (648, 24)
sb85 (569, 290) (603, 333)
sb252 (569, 271) (597, 290)
sb129 (569, 249) (603, 271)
sb27 (527, 295) (567, 333)
sb109 (527, 249) (569, 295)
sb248 (558, 217) (601, 248)
sb20 (591, 200) (604, 217)
sb67 (558, 200) (591, 214)
sb299 (558, 187) (571, 200)
sb186 (527, 216) (558, 249)
sb29 (527, 187) (557, 216)
sb50 (508, 271) (522, 290)
sb28 (450, 320) (474, 332)
sb285 (471, 307) (504, 320)
sb139 (471, 271) (508, 307)
sb215 (450, 271) (471, 300)
sb12 (425, 315) (444, 332)
sb165 (404, 315) (425, 332)
sb152 (434, 296) (450, 315)
sb231 (404, 296) (434, 312)
sb79 (404, 271) (444, 296)
sb104 (508, 229) (522, 271)
sb117 (487, 229) (508, 268)
sb47 (487, 187) (527, 229)
sb36 (446, 242) (476, 269)
sb138 (404, 242) (446, 270)
sb51 (446, 228) (462, 242)
sb196 (446, 187) (487, 228)
sb257 (429, 203) (446, 236)
sb58 (404, 215) (429, 240)
sb39 (404, 203) (417, 215)
sb78 (404, 187) (446, 203)
sb13 (571, 102) (604, 150)
sb128 (571, 58) (599, 102)
sb56 (571, 12) (602, 58)
sb224 (492, 166) (537, 187)
sb41 (528, 142) (564, 161)
sb113 (492, 142) (528, 166)
sb18 (449, 142) (492, 186)
sb122 (404, 163) (447, 183)
sb3 (404, 142) (449, 163)
sb140 (559, 12) (571, 55)
sb8 (519, 118) (555, 139)
sb24 (501, 118) (519, 142)
sb158 (530, 105) (553, 118)
sb157 (530, 85) (555, 105)
sb253 (517, 85) (530, 100)
sb156 (501, 85) (517, 113)
sb94 (540, 54) (559, 85)
sb194 (527, 54) (540, 82)
sb130 (501, 54) (527, 84)
sb10 (486, 105) (501, 136)
sb190 (459, 105) (486, 142)
sb69 (432, 105) (459, 141)
sb48 (404, 105) (432, 139)
sb11 (474, 54) (498, 95)
sb240 (455, 82) (474, 105)
sb116 (455, 54) (474, 82)
sb135 (440, 54) (455, 99)
sb281 (422, 67) (440, 97)
sb52 (404, 67) (422, 104)
sb98 (404, 54) (439, 67)
sb237 (538, 12) (559, 52)
sb279 (495, 12) (538, 51)
sb15 (450, 35) (484, 50)
sb264 (450, 12) (495, 35)
sb125 (404, 12) (450, 54)
sb126 (404, 0) (426, 12)
sb166 (368, 298) (404, 332)
sb124 (368, 267) (403, 298)
sb222 (368, 242) (402, 267)
sb102 (331, 290) (367, 330)
sb287 (310, 290) (331, 332)
sb107 (295, 290) (310, 322)
sb6 (268, 290) (295, 328)
sb40 (349, 242) (368, 289)
sb131 (304, 242) (349, 290)
sb209 (268, 242) (304, 287)
sb168 (361, 216) (402, 240)
sb208 (377, 189) (397, 216)
sb290 (361, 189) (377, 216)
sb53 (290, 230) (326, 242)
sb83 (324, 189) (361, 230)
sb267 (290, 189) (324, 228)
sb242 (268, 189) (290, 229)
sb197 (238, 276) (266, 313)
sb282 (238, 232) (268, 276)
sb25 (238, 189) (267, 232)
sb293 (347, 169) (390, 188)
sb112 (363, 143) (393, 168)
sb4 (363, 98) (403, 143)
sb81 (347, 137) (362, 169)
sb60 (347, 98) (363, 137)
sb270 (380, 83) (403, 98)
sb241 (380, 59) (393, 83)
sb176 (347, 59) (380, 97)
sb57 (347, 12) (395, 59)
sb35 (314, 169) (340, 181)
sb89 (272, 169) (314, 189)
sb146 (296, 136) (344, 169)
sb44 (272, 136) (296, 163)
sb49 (317, 78) (341, 126)
sb226 (272, 120) (311, 136)
sb16 (272, 78) (317, 120)
sb61 (238, 122) (269, 167)
sb258 (238, 78) (272, 122)
sb271 (323, 12) (347, 54)
sb205 (238, 63) (259, 78)
sb183 (290, 24) (323, 63)
sb259 (290, 12) (316, 24)
sb82 (251, 39) (290, 63)
sb142 (251, 12) (288, 39)
sb221 (238, 12) (251, 57)
sb54 (203, 296) (233, 330)
sb284 (182, 296) (203, 326)
sb220 (152, 296) (182, 333)
sb111 (225, 231) (238, 252)
sb200 (188, 253) (225, 296)
sb245 (164, 253) (188, 289)
sb233 (212, 231) (225, 247)
sb228 (192, 231) (212, 252)
sb275 (164, 231) (192, 253)
sb62 (192, 195) (238, 231)
sb207 (164, 195) (192, 228)
sb277 (152, 195) (164, 242)
sb161 (106, 237) (152, 284)
sb66 (106, 195) (151, 237)
sb2 (216, 167) (238, 193)
sb191 (216, 133) (232, 167)
sb171 (194, 155) (216, 195)
sb214 (166, 176) (193, 193)
sb137 (166, 155) (194, 176)
sb235 (166, 133) (212, 155)
sb217 (146, 133) (166, 181)
sb100 (192, 84) (236, 129)
sb260 (167, 120) (186, 132)
sb256 (146, 120) (167, 133)
sb63 (146, 84) (192, 120)
sb159 (190, 52) (234, 84)
sb99 (221, 12) (238, 52)
sb250 (190, 12) (221, 46)
sb212 (169, 41) (190, 83)
sb232 (146, 41) (169, 83)
sb7 (146, 12) (181, 41)
sb255 (106, 100) (145, 147)
sb86 (106, 56) (145, 100)
sb246 (123, 12) (146, 56)
sb193 (106, 12) (123, 45)
sb73 (106, 0) (152, 12)
sb187 (67, 297) (105, 333)
sb202 (28, 297) (67, 331)
sb115 (81, 255) (103, 289)
sb147 (51, 255) (81, 297)
sb123 (28, 255) (51, 291)
sb34 (61, 243) (90, 255)
sb33 (61, 197) (106, 243)
sb96 (28, 197) (61, 243)
sb262 (0, 242) (27, 290)
sb68 (0, 197) (28, 242)
sb74 (71, 127) (105, 170)
sb103 (71, 93) (105, 127)
sb179 (71, 47) (105, 93)
sb134 (71, 0) (105, 47)
sb43 (0, 176) (39, 197)
sb114 (37, 132) (71, 176)
sb95 (0, 132) (37, 176)
sb261 (58, 42) (70, 87)
sb244 (42, 81) (55, 118)
sb5 (42, 55) (58, 81)
sb153 (12, 91) (42, 132)
sb37 (0, 91) (12, 120)
sb247 (0, 55) (39, 91)
sb227 (0, 42) (32, 55)
sb297 (39, 0) (70, 38)
sb110 (0, 0) (39, 42)

